"Year","State","Value"
1960,"AL",0.178484157682146
1960,"AR",0.106170908375267
1960,"AZ",0.0872803856579625
1960,"CA",1.06266712883627
1960,"CO",0.133525083945498
1960,"CT",0.0341404573561662
1960,"DE",0.0449951909475475
1960,"FL",0.779520503433317
1960,"GA",0.169805784270255
1960,"IA",0.299290566467339
1960,"ID",0.150473905353098
1960,"IL",0.315982754562776
1960,"IN",0.199180977027335
1960,"KS",0.190849794720002
1960,"KY",0.161759670449507
1960,"LA",0.1751980497801
1960,"MA",0.0716130660299352
1960,"MD",0.0746009024770213
1960,"ME",0.205668163265306
1960,"MI",0.808013509413161
1960,"MN",0.160771280213788
1960,"MO",0.122133453449495
1960,"MS",0.329863624216569
1960,"MT",0.186580897695543
1960,"NC",0.306877733531463
1960,"ND",0.093313538305751
1960,"NE",0.239461333061704
1960,"NH",0.032326871774899
1960,"NJ",0.139221499634499
1960,"NM",0.0977453399403214
1960,"NV",0.0225132300741788
1960,"NY",0.391772814840557
1960,"OH",0.283817934976692
1960,"OK",0.187144691121311
1960,"OR",0.202716662432442
1960,"PA",0.263640553884502
1960,"RI",0.00346287233813079
1960,"SC",0.166227910290364
1960,"SD",0.10159456168586
1960,"TN",0.0923368089685669
1960,"TX",0.485099343655254
1960,"UT",0.0692923168837705
1960,"VA",0.180570533392453
1960,"VT",0.0785439724016442
1960,"WA",0.70549756827687
1960,"WI",0.117414865771088
1960,"WV",0.0795451032871164
1960,"WY",0.0908106281951418
1961,"AL",0.247011216820634
1961,"AR",0.167392399122131
1961,"AZ",0.0982251506824691
1961,"CA",1.0943151062351
1961,"CO",0.132701194290987
1961,"CT",0.0341676446966338
1961,"DE",0.049297019653193
1961,"FL",0.744824187568157
1961,"GA",0.21323286708929
1961,"IA",0.346638121322516
1961,"ID",0.159125406185962
1961,"IL",0.379162481335458
1961,"IN",0.221193336129519
1961,"KS",0.204872824786991
1961,"KY",0.198031070499838
1961,"LA",0.214362419379966
1961,"MA",0.0681431425815188
1961,"MD",0.0883971019928817
1961,"ME",0.198342917780148
1961,"MI",0.782478096636188
1961,"MN",0.227179223579038
1961,"MO",0.144665222476542
1961,"MS",0.442394147902261
1961,"MT",0.241028379570266
1961,"NC",0.352476248157513
1961,"ND",0.11314779651755
1961,"NE",0.241048974199192
1961,"NH",0.0308582539815691
1961,"NJ",0.143814607834913
1961,"NM",0.104726166968255
1961,"NV",0.0226075105276403
1961,"NY",0.402475650293
1961,"OH",0.293221666806476
1961,"OK",0.286092935635793
1961,"OR",0.238937093484487
1961,"PA",0.260882723045766
1961,"RI",0.00353215074957758
1961,"SC",0.210088270399176
1961,"SD",0.122563168118686
1961,"TN",0.12343203410548
1961,"TX",0.674952244298777
1961,"UT",0.072814268649562
1961,"VA",0.199442629573262
1961,"VT",0.0838842706388486
1961,"WA",0.858723344637914
