Year,State,Value
1960,"AL",3.86224591046976
1960,"AR",7.97313809429308
1960,"AZ",3.3318969183228
1960,"CA",37.2403538116973
1960,"CO",2.70602869049982
1960,"CT",1.29812462790236
1960,"DE",0.551640064638675
1960,"FL",7.74178550165849
1960,"GA",3.97538485527174
1960,"IA",4.41619652425368
1960,"ID",3.86367051285686
1960,"IL",6.10277691151873
1960,"IN",3.42267456694922
1960,"KS",3.28275167975505
1960,"KY",4.57312958920421
1960,"LA",5.72907039378561
1960,"MA",2.16971904856406
1960,"MD",2.18498568310039
1960,"ME",1.5499886598815
1960,"MI",4.82677260227369
1960,"MN",4.89248858900576
1960,"MO",4.03624585376917
1960,"MS",7.34381113032631
1960,"MT",2.15656451109914
1960,"NC",7.31893374535764
1960,"ND",3.13264394862926
1960,"NE",3.03311314603238
1960,"NH",0.418117256825334
1960,"NJ",2.63452924333059
1960,"NM",2.51567771383211
1960,"NV",0.348850395486633
1960,"NY",7.16090919400108
1960,"OH",3.24399682476682
1960,"OK",3.36201202052561
1960,"OR",4.31032943044255
1960,"PA",4.47386102684773
1960,"RI",0.208693618348312
1960,"SC",3.66944263317552
1960,"SD",1.9093995407252
1960,"TN",4.64297054404219
1960,"TX",19.3481558132282
1960,"UT",1.01484846766649
1960,"VA",5.68416352450883
1960,"VT",1.13644288832818
1960,"WA",5.20958665268052
1960,"WI",5.62802285033879
1960,"WV",1.04562271425736
1960,"WY",1.36371303830125
1961,"AL",3.87207637569813
1961,"AR",7.51315453746492
1961,"AZ",2.98559804949962
1961,"CA",35.6891673517988
1961,"CO",2.77062484052958
1961,"CT",1.23539250985173
1961,"DE",0.498178493465257
1961,"FL",7.36126073767471
1961,"GA",4.12232444079041
1961,"IA",4.12270008221586
1961,"ID",3.80596348481842
1961,"IL",5.85302497661101
1961,"IN",3.4993904686304
1961,"KS",3.17411334448445
1961,"KY",4.25782468176792
1961,"LA",5.92801151022028
1961,"MA",1.86857511410994
1961,"MD",2.00810818473053
1961,"ME",1.46942420548295
1961,"MI",4.60436452810932
1961,"MN",4.99385507328552
1961,"MO",3.68247668188133
1961,"MS",7.57798457743883
1961,"MT",1.76911518725371
1961,"NC",7.27423950330281
1961,"ND",2.46965100785303
1961,"NE",2.92492841550194
1961,"NH",0.45882828225555
1961,"NJ",2.51444447594477
1961,"NM",2.17507016698324
1961,"NV",0.269115187253707
1961,"NY",7.29073228815241
1961,"OH",3.44236384770221
1961,"OK",3.3840189379979
1961,"OR",3.88087914268704
1961,"PA",4.45460408811272
1961,"RI",0.186530774246591
1961,"SC",4.19768661582514
1961,"SD",1.98169988376379
1961,"TN",4.19215830805432
1961,"TX",19.7397088424574
1961,"UT",1.03978255322768
1961,"VA",5.40883253479999
1961,"VT",0.885124599552065
1961,"WA",4.94979162532248
1961,"WI",5.93083945227228
1961,"WV",1.0265996654665
1961,"WY",1.3448104782695
1962,"AL",3.87438692484336
1962,"AR",7.64390610381878
1962,"AZ",2.74501034785813
1962,"CA",33.7238397641255
1962,"CO",2.63927083038018
1962,"CT",1.23958126612423
1962,"DE",0.482054262467043
1962,"FL",7.75155217872027
1962,"GA",4.06503557962181
1962,"IA",4.65651489808068
1962,"ID",3.85099084285431
1962,"IL",5.96773736285544
1962,"IN",3.43869957191053
1962,"KS",3.40174496073484
1962,"KY",4.44763700280668
1962,"LA",5.58806310775948
1962,"MA",1.77977489864769
1962,"MD",2.12244492954951
1962,"ME",1.4752714540867
1962,"MI",4.36272077793213
1962,"MN",5.88388427409066
1962,"MO",3.9231069089672
1962,"MS",7.00486207580869
1962,"MT",1.90360190513991
1962,"NC",6.84381821790038
1962,"ND",2.76180081081847
1962,"NE",2.75455731012389
1962,"NH",0.475413205567998
1962,"NJ",2.53386442888328
1962,"NM",2.00953987469169
1962,"NV",0.296700025515267
1962,"NY",7.24756187452159
1962,"OH",3.46001899469849
1962,"OK",3.07570237858986
1962,"OR",4.24838403311315
1962,"PA",4.30295835341479
1962,"RI",0.139518895472458
1962,"SC",4.20849516627449
1962,"SD",2.14509681626173
1962,"TN",3.8074306126499
1962,"TX",19.266974739886
1962,"UT",1.03083803475746
1962,"VA",5.0275564879653
1962,"VT",0.772744025175063
1962,"WA",4.58456184617129
1962,"WI",6.01374989368639
1962,"WV",0.905458849544978
1962,"WY",1.33210954554475
1963,"AL",3.783616363791
1963,"AR",7.69653842882658
1963,"AZ",2.77353074589629
1963,"CA",31.7792858560372
1963,"CO",2.36179939330366
1963,"CT",1.13842032149236
1963,"DE",0.452343151985938
1963,"FL",7.55465228361636
1963,"GA",4.57062058798514
1963,"IA",4.39289258072747
1963,"ID",4.11306806906132
1963,"IL",5.64996597964449
1963,"IN",3.73150143168996
1963,"KS",3.50582598588155
1963,"KY",4.69663056728943
1963,"LA",5.72413035466221
1963,"MA",1.65850650639299
1963,"MD",2.11068664417543
1963,"ME",1.56340543758682
1963,"MI",4.39561420916849
1963,"MN",5.79206475207666
1963,"MO",3.56945822583846
1963,"MS",6.92760751849857
1963,"MT",1.85790831514189
1963,"NC",7.76200635046636
1963,"ND",2.3144685736966
1963,"NE",2.48449947551952
1963,"NH",0.435977943469509
1963,"NJ",2.63854081025147
1963,"NM",1.92218552433873
1963,"NV",0.307544013834945
1963,"NY",6.88547189068126
1963,"OH",3.68928075298387
1963,"OK",2.62731409293227
1963,"OR",4.24507413602472
1963,"PA",4.32008193235619
1963,"RI",0.139951237490432
1963,"SC",4.03781220763757
1963,"SD",2.07314376435234
1963,"TN",4.20195333541236
1963,"TX",16.2769256938735
1963,"UT",1.07706319281036
1963,"VA",5.03588438749185
1963,"VT",0.818770731154141
1963,"WA",4.81229268845859
1963,"WI",6.54088821478184
1963,"WV",0.829777733677317
1963,"WY",1.47737646358404
1964,"AL",3.66783375386273
1964,"AR",6.70196042298642
1964,"AZ",3.04715363025544
1964,"CA",30.8604669293794
1964,"CO",2.01693221444164
1964,"CT",1.16876931363933
1964,"DE",0.380659427891021
1964,"FL",7.96578119241346
1964,"GA",4.85921951634395
1964,"IA",3.97126697473989
1964,"ID",4.240970430641
1964,"IL",4.86498880163298
1964,"IN",3.26713775408953
1964,"KS",3.76041873387577
1964,"KY",4.38306920307317
1964,"LA",5.58181186743401
1964,"MA",1.57795622714257
1964,"MD",2.0703654353188
1964,"ME",1.4710401723698
1964,"MI",4.18003855640291
1964,"MN",5.74637824965271
1964,"MO",3.27909449153744
1964,"MS",6.50627959062172
1964,"MT",1.76531624755479
1964,"NC",7.26084398831968
1964,"ND",2.14423921979985
1964,"NE",2.30026507527004
1964,"NH",0.393728914467156
1964,"NJ",2.82195305190939
1964,"NM",1.86673943242707
1964,"NV",0.336475491168883
1964,"NY",6.76514614577722
1964,"OH",3.45429932242792
1964,"OK",2.05193774274941
1964,"OR",4.35527173758966
1964,"PA",4.23773849686729
1964,"RI",0.147882232869333
1964,"SC",3.98452073824171
1964,"SD",1.97768122926885
1964,"TN",3.71438494032263
1964,"TX",15.3353414793185
1964,"UT",1.14860516542398
1964,"VA",4.65765599750517
1964,"VT",0.761056615541632
1964,"WA",4.76587616590593
1964,"WI",4.95356221472514
1964,"WV",0.774409605080373
1964,"WY",1.65074561279165
1965,"AL",3.28625294134324
1965,"AR",6.73646273353557
1965,"AZ",3.05407819011709
1965,"CA",32.1199075780342
1965,"CO",1.93925240268761
1965,"CT",1.24799421653956
1965,"DE",0.402992373770306
1965,"FL",8.61557707028038
1965,"GA",4.56653105774955
1965,"IA",3.93008108184731
1965,"ID",4.12241657925325
1965,"IL",4.38506789895954
1965,"IN",3.15496271936042
1965,"KS",3.66212825674028
1965,"KY",4.09599410313838
1965,"LA",5.27101465710317
1965,"MA",1.6430485073569
1965,"MD",2.10483230799762
1965,"ME",1.26788194936637
1965,"MI",3.58485952428203
1965,"MN",5.82645366144076
1965,"MO",3.1116080288039
1965,"MS",6.45746746803504
1965,"MT",1.70695007512829
1965,"NC",7.05774955348283
1965,"ND",2.29786947523602
1965,"NE",2.16764238936297
1965,"NH",0.370439146089077
1965,"NJ",2.9588991579962
1965,"NM",1.73235902815184
1965,"NV",0.395274005613359
1965,"NY",6.38345193207269
1965,"OH",3.16615399880929
1965,"OK",2.09785104754345
1965,"OR",3.9944079040626
1965,"PA",4.04226320415048
1965,"RI",0.153779094491537
1965,"SC",4.13194936637088
1965,"SD",1.93322087715817
1965,"TN",3.16118560938962
1965,"TX",13.7552448048082
1965,"UT",1.09842514104272
1965,"VA",4.4973350721515
1965,"VT",0.720692881240609
1965,"WA",4.15635188387719
1965,"WI",6.06480877725172
1965,"WV",0.699493947211748
1965,"WY",1.58215207098914
1966,"AL",3.86181356845179
1966,"AR",4.70955830238426
1966,"AZ",3.05710458424291
1966,"CA",32.625435885805
1966,"CO",2.55699827063193
1966,"CT",1.16521843903269
1966,"DE",0.30921668131432
1966,"FL",9.37599580415615
1966,"GA",3.42086014798855
1966,"IA",3.97393899016245
1966,"ID",3.98394664474244
1966,"IL",3.87845519235676
1966,"IN",2.83682278229807
1966,"KS",3.51719445468205
1966,"KY",4.01014231848723
1966,"LA",4.52848496016783
1966,"MA",1.48052334646897
1966,"MD",1.69005329855697
1966,"ME",1.27245343463839
1966,"MI",3.22261361381226
1966,"MN",4.51112749128228
1966,"MO",3.36266407733961
1966,"MS",5.51491225583307
1966,"MT",2.00509596575284
1966,"NC",6.57482351940578
1966,"ND",2.15499106965668
1966,"NE",2.34569642502764
1966,"NH",0.372147251438778
1966,"NJ",2.64796019618405
1966,"NM",1.4578005840161
1966,"NV",0.314078757123012
1966,"NY",5.23613670512857
1966,"OH",2.76553596235081
1966,"OK",1.83115981062002
1966,"OR",3.1396535593797
1966,"PA",3.72276245286763
1966,"RI",0.146436367760043
1966,"SC",3.21529923737703
1966,"SD",1.87970969296629
1966,"TN",3.62906472372636
1966,"TX",14.2423666827318
1966,"UT",0.929180959941031
1966,"VA",3.88613812264338
1966,"VT",0.64628044113061
1966,"WA",4.4279264593315
1966,"WI",5.35644827488447
1966,"WV",0.57918946502991
1966,"WY",1.49321010404559
1967,"AL",3.51974598134551
1967,"AR",4.73938281405041
1967,"AZ",3.18723953165311
1967,"CA",29.6178947069997
1967,"CO",3.16010121055765
1967,"CT",0.986980126442321
1967,"DE",0.266762112664077
1967,"FL",10.5225030476568
1967,"GA",3.83029512658407
1967,"IA",3.567232727582
1967,"ID",3.8729977603266
1967,"IL",3.54743713321804
1967,"IN",2.3130652340317
1967,"KS",3.1743472344286
1967,"KY",3.72196864457234
1967,"LA",4.14394862926318
1967,"MA",1.34958750318941
1967,"MD",1.58736852550109
1967,"ME",1.09843931619085
1967,"MI",3.15589827913702
1967,"MN",4.10004110792958
1967,"MO",4.17366682731835
1967,"MS",3.64000085050889
1967,"MT",2.1488036174978
1967,"NC",5.89453689791058
1967,"ND",1.8795254160406
1967,"NE",2.07114506846597
1967,"NH",0.383955149831316
1967,"NJ",2.27416153998809
1967,"NM",1.44514217673575
1967,"NV",0.476518867122161
1967,"NY",4.92548833385309
1967,"OH",2.58174099169336
1967,"OK",2.085943923114
1967,"OR",2.90716695489468
1967,"PA",3.71943129305701
1967,"RI",0.153339664899498
1967,"SC",3.13209111785218
1967,"SD",1.79229864202081
1967,"TN",2.8409264876818
1967,"TX",13.0685226660619
1967,"UT",0.865711734187622
1967,"VA",3.42058373260001
